libelle_actuel;ou;occurrences;type;documents;action;nom_propose;texte_libre_propose;confiance;motif
M/A Trame Plancher Chauffant N°06 : Grande Salle N°6;documents;1;DO;Centre Culturel Plailly — Automate Chauffage;SCINDER;Commande;Trame Plancher Chauffant N°06 : Grande Salle N°6;sûr;générique connu du catalogue
M/A Ventilation;documents;1;DO;Centre Culturel Plailly — Coupleur CTA;RENOMMER;Commande VMC;;sûr;synonyme ou regroupement du vocabulaire
M/A VMC Sanitaire;documents;1;DO;Maternelle — Plailly;SCINDER;Commande VMC;Sanitaire;à relire;générique déduit — à confirmer
Manque Eau;documents;1;DI;ECY600_UEHC_BETHUNE;GARDER;Manque Eau;;à relire;aucun local repéré — vocabulaire à valider
Nouvelle_Salle;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Nouvelle_Salle;à relire;aucun local repéré — vocabulaire à valider
ODM_ BECS VDE village enfant;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffe eau;village enfant;à relire;générique déduit — à confirmer
ODM_ CHAUFFAGE GRAND HALL;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffage;grand — HALL;sûr;regroupement arbitré
ODM_ CHAUFFAGE_LOCAL_TECHNIQUE;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffage;local — TECHNIQUE;sûr;regroupement arbitré
ODM_Association1_Hameau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;Association1 Hameau;sûr;générique connu du catalogue
ODM_Association2_Hameau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;Association2 Hameau;sûr;générique connu du catalogue
ODM_Association3_Hameau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;Association3 Hameau;sûr;générique connu du catalogue
ODM_Association4_Hameau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;Association4 Hameau;sûr;générique connu du catalogue
ODM_Bureau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;Bureau;sûr;générique connu du catalogue
ODM_Bureau_Etage;documents;1;DO;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Commande;Bureau Etage;sûr;générique connu du catalogue
ODM_Bureau_Vestiaires;catalogue + documents;1;DO;Maison_Du_Village;SCINDER;Commande;Bureau Vestiaires;sûr;générique connu du catalogue
ODM_Cantine;documents;1;DO;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Commande;Cantine;sûr;générique connu du catalogue
ODM_Couloir_Sanitaire;documents;1;DO;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Commande;Couloir Sanitaire;sûr;générique connu du catalogue
ODM_DALLE CHAUFFANTE SALLE JEUX;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffage;SALLE JEUX;à relire;générique déduit — à confirmer
ODM_Dalles_Bureau_Maire;catalogue + documents;1;DO;LaLandelle_Mairie;SCINDER;Commande Chauffage;Bureau Maire;à relire;générique déduit — à confirmer
ODM_Dalles_Salle_Conseil;catalogue + documents;1;DO;LaLandelle_Mairie;SCINDER;Commande Chauffage;Salle Conseil;à relire;générique déduit — à confirmer
ODM_Dalles_Secretariat;catalogue + documents;1;DO;LaLandelle_Mairie;SCINDER;Commande Chauffage;Secretariat;à relire;générique déduit — à confirmer
ODM_Eclairage_Hameau_Enfant;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Eclairage;Hameau Enfant;à relire;générique déduit — à confirmer
ODM_Grande_Salle;catalogue + documents;1;DO;Maison_Du_Village;SCINDER;Commande;Grande Salle;sûr;générique connu du catalogue
ODM_Hall_Hameau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;Hall Hameau;sûr;générique connu du catalogue
ODM_PETITE_SALLE;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;PETITE SALLE;sûr;générique connu du catalogue
ODM_PLCH_SALLE_JEUX_et_HALL;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Plancher Chauffant;SALLE JEUX et HALL;sûr;regroupement arbitré
ODM_Rad_Grande_Salle_Mang;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffage;Grande Salle Mang;à relire;générique déduit — à confirmer
ODM_Rad_Office_Cuisine;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffage;Office Cuisine;à relire;générique déduit — à confirmer
ODM_Rad_Petite_Salle_Mang;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande Chauffage;Petite Salle Mang;à relire;générique déduit — à confirmer
ODM_Radiateurs_Bureau_SIRIS;catalogue + documents;1;DO;LaLandelle_Mairie;SCINDER;Commande Chauffage;Bureau SIRIS;à relire;générique déduit — à confirmer
ODM_Radiateurs_Reunion_SIRIS;catalogue + documents;1;DO;LaLandelle_Mairie;RENOMMER;Commande Chauffage;Reunion SIRIS;sûr;alignement sur le vocabulaire arbitré
ODM_SALLE DE REPOS;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;SALLE DE REPOS;sûr;générique connu du catalogue
ODM_SALLE DE TRAVAIL;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;SALLE DE TRAVAIL;sûr;générique connu du catalogue
ODM_Sanitaire_Grde_Salle;catalogue + documents;1;DO;Maison_Du_Village;SCINDER;Commande;Sanitaire Grde Salle;sûr;générique connu du catalogue
ODM_Sanitaire_Perisco;catalogue + documents;1;DO;Maison_Du_Village;SCINDER;Commande;Sanitaire Perisco;sûr;générique connu du catalogue
ODM_SANITAIRE_RESERVE;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;SANITAIRE RESERVE;sûr;générique connu du catalogue
ODM_SAS_Secondaire;catalogue + documents;1;DO;Maison_Du_Village;RENOMMER;Commande ;SAS Secondaire;sûr;alignement sur le vocabulaire arbitré
ODM_SAS_Tour;catalogue + documents;1;DO;Maison_Du_Village;RENOMMER;Commande ;SAS Tour;sûr;alignement sur le vocabulaire arbitré
ODM_TISANNERIE;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;TISANNERIE;sûr;générique connu du catalogue
ODM_TRAVAUX_MANUEL_PEINTURE;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande;TRAVAUX MANUEL PEINTURE;sûr;générique connu du catalogue
ODM_VMC_Hameau;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;SCINDER;Commande VMC;Hameau;à relire;générique déduit — à confirmer
OMD_VMC-village_enfants;documents;1;DO;Coye_La_Foret_Village_enfants_S1000;RENOMMER;Commande VMC;village enfants;sûr;synonyme ou regroupement du vocabulaire
Ouverture volet d'air neuf;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Ouverture volet d'air neuf;;à relire;aucun local repéré — vocabulaire à valider
Pompe 1 centrale d'air;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Commande Pompe 1;centrale d'air;à relire;aucun local repéré — vocabulaire à valider
Pompe 1 radiateur;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Commande Pompe 1;radiateur;à relire;aucun local repéré — vocabulaire à valider
Pompe 2 centrale d'air;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Commande Pompe 2;centrale d'air;à relire;aucun local repéré — vocabulaire à valider
Pompe 2 radiateur;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Commande Pompe 2;radiateur;à relire;aucun local repéré — vocabulaire à valider
Sanitaire_Personnel;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Sanitaire_Personnel;à relire;aucun local repéré — vocabulaire à valider
Sanitaires;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;GARDER;Commande;Sanitaires;à relire;aucun local repéré — vocabulaire à valider
Signal TRIAC CTA;documents;1;AO;Montagny Ecole — Coupleur CTA/Cuisine;GARDER;Signal TRIAC CTA;;à relire;aucun local repéré — vocabulaire à valider
Sonde ambiance Ss Fil — Bar;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Bar;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Bureau directrice;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Bureau directrice;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Bureau étage;documents;1;COM;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Sonde ambiance Ss Fil;Bureau étage;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Cantine 1;documents;1;COM;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Sonde ambiance Ss Fil;Cantine 1;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Cantine 2;documents;1;COM;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Sonde ambiance Ss Fil;Cantine 2;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Couloir vers préau;documents;1;COM;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Sonde ambiance Ss Fil;Couloir vers préau;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Grande salle 1;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Grande salle 1;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Grande salle 2;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Grande salle 2;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Périscolaire;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Périscolaire;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Salle périsco;documents;1;COM;Andeville_Jules_Vernes_SE60-S1000;SCINDER;Sonde ambiance Ss Fil;Salle périsco;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Sanitaires enfants;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Sanitaires enfants;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Sanitaires grande salle;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Sanitaires grande salle;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — SAS secondaire;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;SAS secondaire;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — SAS tour;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;SAS tour;sûr;générique connu du catalogue
Sonde ambiance Ss Fil — Vestiaires;catalogue + documents;1;COM;Maison_Du_Village;SCINDER;Sonde ambiance Ss Fil;Vestiaires;sûr;générique connu du catalogue
Sonde Soufflage;documents;1;AI;Centre Culturel Plailly — Coupleur CTA;RENOMMER;Sonde soufflage;;sûr;variante d'écriture d'un point du catalogue
Sonde temp. ambiante Atelier;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Atelier;sûr;générique connu du catalogue
Sonde temp. ambiante Cantine / Enseignants;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Cantine / Enseignants;sûr;générique connu du catalogue
Sonde temp. ambiante Circulation cantine;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Circulation cantine;sûr;générique connu du catalogue
Sonde temp. ambiante Circulation classe;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Circulation classe;sûr;générique connu du catalogue
Sonde temp. ambiante Cuisine;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Cuisine;sûr;générique connu du catalogue
Sonde temp. ambiante Cuisine 2;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Cuisine 2;sûr;générique connu du catalogue
Sonde temp. ambiante Hall;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Hall;sûr;générique connu du catalogue
Sonde temp. ambiante Salle 1;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Salle 1;sûr;générique connu du catalogue
Sonde temp. ambiante Salle 2;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Salle 2;sûr;générique connu du catalogue
Sonde temp. ambiante Salle 3;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Salle 3;sûr;générique connu du catalogue
Sonde temp. ambiante Salle informatique;documents;1;COM;Montagny Ecole — Automate centralisateur;SCINDER;Sonde ambiance;Salle informatique;sûr;générique connu du catalogue
Sonde temp. ambiante WC;documents;1;COM;Montagny Ecole — Automate centralisateur;RENOMMER;Sonde ambiance;Wc;sûr;synonyme ou regroupement du vocabulaire
Sonde temp. Bibliotheque;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;RENOMMER;Sonde ambiance;Bibliotheque;sûr;synonyme ou regroupement du vocabulaire
Sonde temp. Bureau directeur;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Bureau directeur;sûr;générique connu du catalogue
Sonde temp. Bureau Direction;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Bureau Direction;sûr;générique connu du catalogue
Sonde temp. Classe 1;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Classe 1;sûr;générique connu du catalogue
Sonde temp. Classe 2;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Classe 2;sûr;générique connu du catalogue
Sonde temp. Classe 3;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Classe 3;sûr;générique connu du catalogue
Sonde temp. Couloir CM1+CM2 - Primaire;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Couloir CM1+CM2 - Primaire;sûr;générique connu du catalogue
Sonde temp. Couloir maternelle;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Couloir maternelle;sûr;générique connu du catalogue
Sonde temp. Couloir preau;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Couloir preau;sûr;générique connu du catalogue
Sonde temp. Couloir primaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Couloir primaire;sûr;générique connu du catalogue
Sonde temp. Cuisine;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Cuisine;sûr;générique connu du catalogue
Sonde temp. Deg 2;documents;1;COM;Maternelle — Plailly;RENOMMER;Sonde ambiance;Deg 2;sûr;synonyme ou regroupement du vocabulaire
Sonde temp. Deg. Hall;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Deg. — Hall;sûr;générique connu du catalogue
Sonde temp. Degagement CE1;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Degagement CE1;sûr;générique connu du catalogue
Sonde temp. Entree;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Sonde ambiance;Entree;sûr;synonyme ou regroupement du vocabulaire
Sonde temp. Evolution;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Evolution;sûr;générique connu du catalogue
Sonde temp. Grande Salle - Fond;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Grande Salle - Fond;sûr;générique connu du catalogue
Sonde temp. Grande Salle - Scene;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Grande Salle - Scene;sûr;générique connu du catalogue
Sonde temp. Hall;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Hall;sûr;générique connu du catalogue
Sonde temp. Mezzanine;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;RENOMMER;Sonde ambiance;Mezzanine;sûr;synonyme ou regroupement du vocabulaire
Sonde temp. Peinture;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Peinture;sûr;générique connu du catalogue
Sonde temp. Preau;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Preau;sûr;générique connu du catalogue
Sonde temp. Preau 1 - Primaire;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Preau 1 - Primaire;sûr;générique connu du catalogue
Sonde temp. Preau 2 - Primaire;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Preau 2 - Primaire;sûr;générique connu du catalogue
Sonde temp. Rangement;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Rangement;sûr;générique connu du catalogue
Sonde temp. Rangement periscolaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Rangement periscolaire;sûr;générique connu du catalogue
Sonde temp. Rgt Admin;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Rgt Admin;sûr;générique connu du catalogue
Sonde temp. Salle CE1;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Salle CE1;sûr;générique connu du catalogue
Sonde temp. Salle CE2;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Salle CE2;sûr;générique connu du catalogue
Sonde temp. Salle CM1;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Salle CM1;sûr;générique connu du catalogue
Sonde temp. Salle CM2;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Salle CM2;sûr;générique connu du catalogue
Sonde temp. Salle CP;documents;1;COM;Primaire — Plailly;SCINDER;Sonde ambiance;Salle CP;sûr;générique connu du catalogue
Sonde temp. Salle des maitres;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle des maitres;sûr;générique connu du catalogue
Sonde temp. Salle informatique;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle informatique;sûr;générique connu du catalogue
Sonde temp. Salle periscolaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle periscolaire;sûr;générique connu du catalogue
Sonde temp. Salle Primaire 1;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle Primaire 1;sûr;générique connu du catalogue
Sonde temp. Salle Primaire 2;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle Primaire 2;sûr;générique connu du catalogue
Sonde temp. Salle Primaire 3;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle Primaire 3;sûr;générique connu du catalogue
Sonde temp. Salle Primaire 4;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle Primaire 4;sûr;générique connu du catalogue
Sonde temp. Salle Primaire 5;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle Primaire 5;sûr;générique connu du catalogue
Sonde temp. Salle Profs;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Salle Profs;sûr;générique connu du catalogue
Sonde temp. Salle psychomoteur;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Salle psychomoteur;sûr;générique connu du catalogue
Sonde temp. Salle Rangement 1 & 2;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Salle Rangement 1 & 2;sûr;générique connu du catalogue
Sonde temp. Salle Rangement 3 & 4;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Salle Rangement 3 & 4;sûr;générique connu du catalogue
Sonde temp. Sanitaire periscolaire;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Sanitaire periscolaire;sûr;générique connu du catalogue
Sonde temp. Sanitaires;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Sanitaires;sûr;générique connu du catalogue
Sonde temp. Sanitaires filles;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Sanitaires filles;sûr;générique connu du catalogue
Sonde temp. Sanitaires garcons;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Sanitaires garcons;sûr;générique connu du catalogue
Sonde temp. Sanitaires maternelle;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;Sanitaires maternelle;sûr;générique connu du catalogue
Sonde temp. SM1 (petite section);documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;SM1 (petite section);sûr;générique connu du catalogue
Sonde temp. SM2 (moyenne section);documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;SM2 (moyenne section);sûr;générique connu du catalogue
Sonde temp. SM3 (grande section);documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Sonde ambiance;SM3 (grande section);sûr;générique connu du catalogue
Sonde temp. Sous-Sol Degagement;documents;1;COM;Centre Culturel Plailly — Automate Chauffage;SCINDER;Sonde ambiance;Sous-Sol Degagement;sûr;générique connu du catalogue
Sonde temp. Tisanerie;documents;1;COM;Maternelle — Plailly;SCINDER;Sonde ambiance;Tisanerie;sûr;générique connu du catalogue
Temperature air neuf;documents;1;AI;Salle des fêtes — Berthecourt;RENOMMER;Sonde ambiance;air neuf;sûr;synonyme ou regroupement du vocabulaire
Temperature air repris;documents;1;AI;Salle des fêtes — Berthecourt;RENOMMER;Sonde ambiance;air repris;sûr;synonyme ou regroupement du vocabulaire
Temperature air souffle;documents;1;AI;Salle des fêtes — Berthecourt;RENOMMER;Sonde ambiance;air souffle;sûr;synonyme ou regroupement du vocabulaire
Température Bureau 2 / Réserve 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Bureau 2 / Réserve 2;sûr;générique connu du catalogue
Température Bureau Directrice;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Bureau Directrice;sûr;générique connu du catalogue
Température Classe 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Classe 1;sûr;générique connu du catalogue
Température Classe 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Classe 2;sûr;générique connu du catalogue
Température Classe 3;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Classe 3;sûr;générique connu du catalogue
Température Classe 4;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Classe 4;sûr;générique connu du catalogue
Temperature cuisine;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;cuisine;sûr;générique connu du catalogue
Température Cuisine / Dégagement;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance;Cuisine / Dégagement;sûr;générique connu du catalogue
Temperature depart chaudiere;documents;1;AI;Salle des fêtes — Berthecourt;RENOMMER;Sonde départ chaudiere;;sûr;synonyme ou regroupement du vocabulaire
Temperature depart eau chaude CTA;documents;1;COM;Salle des fêtes — Berthecourt;RENOMMER;Sonde départ constant CTA;;sûr;synonyme ou regroupement du vocabulaire
Temperature depart eau chaude grande salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde départ;grande salle;à relire;générique déduit — à confirmer
Temperature depart eau chaude petite salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde départ;petite salle;à relire;générique déduit — à confirmer
Température Entrée / Bibliothèque;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Sonde ambiance;Entrée / Bibliothèque;sûr;synonyme ou regroupement du vocabulaire
Température extérieure;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Sonde extérieur;;sûr;synonyme ou regroupement du vocabulaire
Temperature grande salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;grande salle;sûr;générique connu du catalogue
Température Grande Salle 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Grande Salle 1;sûr;générique connu du catalogue
Température Grande Salle 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Grande Salle 2;sûr;générique connu du catalogue
Temperature hall d'entree;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;hall d'entree;sûr;générique connu du catalogue
Temperature petite salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;petite salle;sûr;générique connu du catalogue
Température Repos 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Repos 1;sûr;générique connu du catalogue
Température Repos 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Repos 2;sûr;générique connu du catalogue
Temperature retour eau chaude CTA;documents;1;COM;Salle des fêtes — Berthecourt;RENOMMER;Sonde retour CTA;;sûr;synonyme ou regroupement du vocabulaire
Temperature retour eau chaude grande salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde retour;grande salle;à relire;générique déduit — à confirmer
Temperature retour eau chaude petite salle;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde retour;petite salle;à relire;générique déduit — à confirmer
Température Salle Communale 1;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance;Salle Communale 1;sûr;générique connu du catalogue
Température Salle Communale 2;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance;Salle Communale 2;sûr;générique connu du catalogue
Température Sanitaire 1;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Sanitaire 1;sûr;générique connu du catalogue
Température Sanitaire 2;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Sanitaire 2;sûr;générique connu du catalogue
Temperature sanitaires femmes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;sanitaires femmes;sûr;générique connu du catalogue
Temperature sanitaires handicapes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;sanitaires handicapes;sûr;générique connu du catalogue
Temperature sanitaires hommes;documents;1;COM;Salle des fêtes — Berthecourt;SCINDER;Sonde ambiance;sanitaires hommes;sûr;générique connu du catalogue
Température Tisanerie;documents;1;COM;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Sonde ambiance;Tisanerie;sûr;générique connu du catalogue
Température Zone sanitaire;catalogue + documents;1;COM;Salle Communale — Lalandelle;SCINDER;Sonde ambiance;Zone sanitaire;sûr;générique connu du catalogue
test;documents;1;;(sans titre);GARDER;test;;à relire;aucun local repéré — vocabulaire à valider
Tp depart CHD;documents;1;AI;ECY600_UEHC_BETHUNE;RENOMMER;Sonde départ chaudiere;;sûr;synonyme ou regroupement du vocabulaire
Tp depart CR1;documents;1;AI;ECY600_UEHC_BETHUNE;RENOMMER;Sonde départ CR1;;sûr;synonyme ou regroupement du vocabulaire
Tp depart CR2;documents;1;AI;ECY600_UEHC_BETHUNE;RENOMMER;Sonde départ CR2;;sûr;synonyme ou regroupement du vocabulaire
Tp depart Primaire ECS;documents;1;AI;ECY600_UEHC_BETHUNE;SCINDER;Sonde départ;Primaire ECS;sûr;générique connu du catalogue
Tp exterieur;documents;1;AI;ECY600_UEHC_BETHUNE;GARDER;Tp exterieur;;à relire;aucun local repéré — vocabulaire à valider
Vanne chauffage Y1 (ouverture);documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Pilotage Vanne chauffage Y1 (ouverture);;à relire;aucun local repéré — vocabulaire à valider
